Respondent,ConvertedComp,EdLevel,JobSat,DevOps,DevOpsImpt,EdImpt,Learn,OnboardGood,Overtime,OpSys,OrgSize,PlatformWorkedWith,UndergradMajor,WorkWeekHrs,YearsCode
836,25860.0,Professional degree,4,Yes,Somewhat important,Very important,Once every few years,Onboarding? What onboarding?,Sometimes: 1-2 days per month but less than weekly,Windows,20 to 99 employees,"{'Docker', 'Windows', 'Linux', 'Google Cloud Platform'}",Computer science,40.0,14.0
842,125000.0,Bachelor’s degree,4,No,Extremely important,Somewhat important,Every few months,Yes,Sometimes: 1-2 days per month but less than weekly,Windows,"10,000 or more employees","{'Docker', 'Microsoft Azure'}",Computer science,40.0,31.0
849,51887.0,Master’s degree,4,,Extremely important,Fairly important,Once every few years,,Often: 1-2 days per week or more,Linux-based,2 to 9 employees,"{'Linux', 'Microsoft Azure', 'Raspberry Pi', 'Kubernetes', 'Docker', 'Windows'}",Computer science,50.0,21.0
851,150000.0,Other doctoral degree,5,Not sure,Neutral,Critically important,Once a year,Onboarding? What onboarding?,Occasionally: 1-2 days per quarter but less than monthly,Linux-based,"1,000 to 4,999 employees",{'Linux'},Computer science,40.0,25.0
868,2328.0,Bachelor’s degree,2,Not sure,Somewhat important,Very important,Once a year,Onboarding? What onboarding?,Often: 1-2 days per week or more,Linux-based,20 to 99 employees,"{'Linux', 'Arduino'}",Information system,44.0,4.0
875,34904.0,Master’s degree,5,No,Extremely important,Fairly important,Every few months,Yes,Sometimes: 1-2 days per month but less than weekly,MacOS,20 to 99 employees,"{'Docker', 'MacOS', 'Linux', 'AWS'}",Computer science,50.0,14.0
885,89000.0,Bachelor’s degree,5,Yes,Extremely important,Critically important,Once every few years,Yes,Sometimes: 1-2 days per month but less than weekly,Windows,"10,000 or more employees","{'Microsoft Azure', 'Windows'}",Computer science,50.0,9.0
900,59454.0,Master’s degree,4,Not sure,Somewhat important,Very important,Once every few years,Onboarding? What onboarding?,Occasionally: 1-2 days per quarter but less than monthly,Linux-based,100 to 499 employees,"{'MacOS', 'Windows', 'Linux'}",Computer science,39.0,20.0
904,,Bachelor’s degree,4,Yes,Somewhat important,Fairly important,Once a year,Yes,Often: 1-2 days per week or more,Windows,"1,000 to 4,999 employees","{'Linux', 'WordPress', 'Microsoft Azure', 'AWS', 'Windows'}",Computer science,45.0,24.0
905,68068.0,Bachelor’s degree,2,Yes,Extremely important,Somewhat important,Once a year,Yes,Occasionally: 1-2 days per quarter but less than monthly,Linux-based,20 to 99 employees,"{'Linux', 'Heroku', 'Kubernetes', 'Docker', 'Google Cloud Platform'}",Social science,35.0,10.0
906,16164.0,Bachelor’s degree,1,Yes,Extremely important,Very important,Every few months,Yes,Occasionally: 1-2 days per quarter but less than monthly,MacOS,20 to 99 employees,"{'Slack Apps and Integrations', 'Linux', 'MacOS', 'Microsoft Azure', 'Android', 'iOS', 'Raspberry Pi', 'Arduino', 'Windows'}",Computer science,40.0,7.0
908,20688.0,Bachelor’s degree,4,Yes,Extremely important,Somewhat important,Every few months,No,Often: 1-2 days per week or more,Windows,20 to 99 employees,"{'Linux', 'WordPress', 'Microsoft Azure', 'Android', 'Heroku', 'Kubernetes', 'AWS', 'Docker', 'Windows', 'Google Cloud Platform'}",Computer science,45.0,12.0
911,170000.0,Bachelor’s degree,5,Yes,Extremely important,Fairly important,Once every few years,No,Never,Linux-based,"10,000 or more employees","{'Linux', 'MacOS', 'Kubernetes', 'AWS', 'Docker', 'Windows'}",Computer science,40.0,30.0
917,125000.0,Bachelor’s degree,4,Yes,Neutral,Very important,Every few months,No,Rarely: 1-2 days per year or less,Windows,"10,000 or more employees","{'Linux', 'Raspberry Pi', 'Kubernetes', 'Arduino', 'Docker', 'Windows'}",Computer science,40.0,11.0
920,,,4,No,Somewhat important,Very important,,Onboarding? What onboarding?,Sometimes: 1-2 days per month but less than weekly,Linux-based,"Just me - I am a freelancer, sole proprietor, etc.",{'Linux'},Natural science,40.0,27.0
931,145000.0,Bachelor’s degree,5,No,Somewhat important,Very important,Once a year,Yes,Often: 1-2 days per week or more,Windows,10 to 19 employees,"{'Microsoft Azure', 'WordPress'}",Web dev/design,45.0,18.0
933,100000.0,College study/no degree,2,No,Somewhat important,Not important,Every few months,No,Often: 1-2 days per week or more,Windows,"1,000 to 4,999 employees","{'Slack Apps and Integrations', 'Linux', 'AWS', 'MacOS', 'Microsoft Azure', 'iOS', 'Raspberry Pi', 'Kubernetes', 'Arduino', 'Docker', 'Windows'}",No major,40.0,5.0
935,1000000.0,Master’s degree,3,Yes,Somewhat important,Somewhat important,Once every few years,Onboarding? What onboarding?,Often: 1-2 days per week or more,Linux-based,2 to 9 employees,{'Linux'},Engineering other,45.0,15.0
936,170000.0,Bachelor’s degree,5,No,Extremely important,Not important,Every few months,Onboarding? What onboarding?,Occasionally: 1-2 days per quarter but less than monthly,Windows,20 to 99 employees,"{'Linux', 'MacOS', 'Microsoft Azure', 'Kubernetes', 'AWS', 'Docker', 'Windows'}",Computer science,35.0,20.0
943,75631.0,Associate degree,1,Yes,Somewhat important,Somewhat important,,Yes,Sometimes: 1-2 days per month but less than weekly,Windows,"5,000 to 9,999 employees","{'Linux', 'Microsoft Azure', 'Kubernetes', 'Docker', 'Windows'}",Computer science,40.0,26.0
952,86220.0,Bachelor’s degree,5,Yes,Extremely important,Not important,Every few months,No,Occasionally: 1-2 days per quarter but less than monthly,MacOS,100 to 499 employees,"{'Docker', 'MacOS', 'AWS'}",Computer science,40.0,9.0
959,150000.0,Bachelor’s degree,5,Yes,Extremely important,Very important,Every few months,Yes,Rarely: 1-2 days per year or less,Windows,"5,000 to 9,999 employees","{'Linux', 'MacOS', 'Android', 'AWS', 'Windows'}",Engineering other,40.0,14.0
972,85000.0,Master’s degree,5,Not sure,Neutral,Fairly important,Once a year,Onboarding? What onboarding?,Sometimes: 1-2 days per month but less than weekly,Windows,"10,000 or more employees","{'Windows', 'Raspberry Pi'}",Natural science,40.0,16.0
982,,Bachelor’s degree,4,Yes,Somewhat important,Very important,,No,Often: 1-2 days per week or more,Windows,"5,000 to 9,999 employees","{'Docker', 'AWS'}",Computer science,40.0,7.0
983,120000.0,Bachelor’s degree,4,Yes,Extremely important,Critically important,Every few months,Yes,Often: 1-2 days per week or more,Windows,100 to 499 employees,"{'IBM Cloud or Watson', 'Linux', 'MacOS', 'Raspberry Pi', 'Kubernetes', 'AWS', 'Docker', 'Windows', 'Google Cloud Platform'}",Computer science,43.0,30.0
985,22701.0,Master’s degree,3,Yes,Extremely important,Very important,Once every few years,No,Often: 1-2 days per week or more,Windows,500 to 999 employees,"{'Docker', 'Windows'}",Computer science,41.0,5.0
995,168000.0,Bachelor’s degree,5,Yes,Extremely important,Fairly important,Once a year,Yes,Often: 1-2 days per week or more,Windows,"1,000 to 4,999 employees","{'Docker', 'Linux', 'Google Cloud Platform', 'AWS'}",Computer science,40.0,17.0
999,,Bachelor’s degree,4,No,Neutral,Very important,Every few months,Onboarding? What onboarding?,Often: 1-2 days per week or more,Windows,2 to 9 employees,"{'Microsoft Azure', 'Android', 'Raspberry Pi', 'Arduino', 'Windows'}",Computer science,44.0,15.0
1005,,Bachelor’s degree,1,,,Somewhat important,Once a year,,Often: 1-2 days per week or more,Linux-based,"5,000 to 9,999 employees",{},Business,45.0,
1014,120000.0,Secondary school,5,Yes,Extremely important,Not important,Once a year,Yes,Occasionally: 1-2 days per quarter but less than monthly,MacOS,"10,000 or more employees","{'Linux', 'Raspberry Pi', 'Kubernetes', 'Arduino', 'Docker'}",,40.0,14.0
1031,46513.0,Master’s degree,2,Not sure,Extremely important,Somewhat important,Once every few years,No,Rarely: 1-2 days per year or less,Windows,"1,000 to 4,999 employees",{'Windows'},Computer science,40.0,18.0
1046,13740.0,College study/no degree,5,No,Somewhat important,Very important,Every few months,Yes,Often: 1-2 days per week or more,Linux-based,2 to 9 employees,"{'Linux', 'MacOS', 'Arduino', 'AWS', 'Docker'}",Computer science,42.0,7.0
1058,23037.0,Master’s degree,2,Yes,Extremely important,Fairly important,Every few months,No,Occasionally: 1-2 days per quarter but less than monthly,MacOS,20 to 99 employees,"{'Docker', 'Microsoft Azure', 'Linux', 'AWS'}",Computer science,40.0,10.0
1066,50316.0,Master’s degree,5,Yes,Extremely important,Very important,Every few months,Yes,Never,Windows,100 to 499 employees,"{'Microsoft Azure', 'Heroku', 'Arduino', 'Windows', 'Google Cloud Platform'}",Computer science,40.0,10.0
1075,18156.0,Secondary school,4,No,Neutral,Somewhat important,Every few months,No,Often: 1-2 days per week or more,Windows,2 to 9 employees,"{'Linux', 'WordPress', 'MacOS', 'Android', 'iOS', 'Raspberry Pi', 'Arduino', 'Windows'}",,40.0,11.0
1076,1440000.0,Master’s degree,3,No,Extremely important,Somewhat important,Once every few years,Onboarding? What onboarding?,Often: 1-2 days per week or more,MacOS,10 to 19 employees,"{'MacOS', 'Android', 'Kubernetes', 'AWS', 'Docker', 'Google Cloud Platform'}",Engineering other,60.0,38.0
1094,,Bachelor’s degree,4,Yes,Neutral,Fairly important,Once every few years,Yes,Never,Windows,"1,000 to 4,999 employees",{'Windows'},Business,70.0,1.0
1096,64630.0,Other doctoral degree,4,No,Somewhat important,Very important,Once a year,No,Sometimes: 1-2 days per month but less than weekly,Linux-based,"1,000 to 4,999 employees","{'Docker', 'Windows', 'Linux', 'AWS'}",Computer science,48.0,32.0
1105,13740.0,College study/no degree,1,Yes,Extremely important,Somewhat important,Every few months,No,Occasionally: 1-2 days per quarter but less than monthly,Linux-based,2 to 9 employees,"{'Android', 'Linux', 'AWS'}",Natural science,40.0,8.0
1107,1592.0,Master’s degree,4,,,Fairly important,Once every few years,Yes,Often: 1-2 days per week or more,Windows,"10,000 or more employees",{},Math or stats,40.0,2.0
1126,30000.0,Bachelor’s degree,2,No,Somewhat important,Very important,Once a year,Onboarding? What onboarding?,Occasionally: 1-2 days per quarter but less than monthly,Linux-based,"5,000 to 9,999 employees","{'Docker', 'Linux'}",Math or stats,35.0,8.0
1147,,Professional degree,3,No,Extremely important,Somewhat important,Once every few years,Yes,Often: 1-2 days per week or more,Linux-based,10 to 19 employees,"{'Docker', 'Linux', 'Kubernetes', 'AWS'}",Computer science,60.0,40.0
1151,60000.0,Bachelor’s degree,4,No,Not at all important,Fairly important,Once a year,No,Sometimes: 1-2 days per month but less than weekly,MacOS,20 to 99 employees,{'Windows'},Computer science,40.0,4.0
1168,200000.0,Bachelor’s degree,2,No,Extremely important,Fairly important,Every few months,No,Often: 1-2 days per week or more,Linux-based,"10,000 or more employees","{'Linux', 'MacOS', 'Microsoft Azure', 'AWS', 'Docker', 'Windows', 'Google Cloud Platform'}",Computer science,50.0,29.0
1183,91000.0,Bachelor’s degree,4,Yes,Neutral,Very important,Once every few years,Yes,Never,Windows,"1,000 to 4,999 employees","{'Windows', 'Linux', 'Google Cloud Platform'}",Computer science,40.0,16.0
1186,150000.0,Other doctoral degree,1,No,Neutral,Critically important,Every few months,Yes,Sometimes: 1-2 days per month but less than weekly,MacOS,2 to 9 employees,"{'MacOS', 'Google Cloud Platform'}",Natural science,40.0,20.0
1188,90000.0,Bachelor’s degree,4,No,Somewhat important,Very important,Once a year,Yes,Occasionally: 1-2 days per quarter but less than monthly,Windows,100 to 499 employees,"{'Microsoft Azure', 'Windows', 'Linux', 'AWS'}",Humanities,40.0,38.0
1203,90000.0,Associate degree,3,No,Neutral,Not important,Once a year,No,Occasionally: 1-2 days per quarter but less than monthly,Windows,500 to 999 employees,{'Windows'},Computer science,,30.0
1217,120000.0,Master’s degree,4,No,Somewhat important,Somewhat important,Once a year,Onboarding? What onboarding?,Often: 1-2 days per week or more,Linux-based,10 to 19 employees,"{'Docker', 'MacOS', 'Linux', 'AWS'}",Computer science,44.0,38.0
1218,33408.0,Master’s degree,5,Yes,Somewhat important,Very important,Every few months,Yes,Occasionally: 1-2 days per quarter but less than monthly,Windows,"10,000 or more employees","{'Windows', 'Linux'}",Computer science,40.0,9.0
1220,1000000.0,Master’s degree,2,Yes,Somewhat important,Fairly important,Every few months,Yes,Often: 1-2 days per week or more,Windows,"1,000 to 4,999 employees","{'Linux', 'WordPress', 'AWS', 'Windows', 'Google Cloud Platform'}",Computer science,40.0,5.0
1222,163368.0,Bachelor’s degree,3,Yes,Somewhat important,Fairly important,Every few months,No,Rarely: 1-2 days per year or less,Windows,"10,000 or more employees","{'IBM Cloud or Watson', 'Slack Apps and Integrations', 'Linux', 'MacOS', 'Microsoft Azure', 'AWS'}",Computer science,37.5,14.0
1224,220000.0,Bachelor’s degree,4,Yes,Somewhat important,Fairly important,Once every few years,No,Sometimes: 1-2 days per month but less than weekly,Linux-based,"10,000 or more employees",{'Linux'},Computer science,55.0,26.0
1225,,College study/no degree,5,No,Extremely important,Critically important,Once a year,Yes,Often: 1-2 days per week or more,Windows,2 to 9 employees,{'Google Cloud Platform'},Math or stats,,9.0
1231,25000.0,Bachelor’s degree,3,No,Neutral,Very important,Every few months,No,Occasionally: 1-2 days per quarter but less than monthly,Windows,20 to 99 employees,"{'Windows', 'Linux', 'WordPress'}",Computer science,40.0,25.0
1232,120000.0,Bachelor’s degree,5,No,Neutral,Fairly important,Once every few years,Yes,Rarely: 1-2 days per year or less,Windows,100 to 499 employees,"{'Windows', 'Raspberry Pi'}",Computer science,,17.0
1241,58000.0,Primary/elementary school,2,No,Extremely important,Not important,Once a year,Onboarding? What onboarding?,Often: 1-2 days per week or more,Windows,"10,000 or more employees","{'IBM Cloud or Watson', 'Linux', 'Raspberry Pi', 'AWS', 'Docker', 'Windows'}",,50.0,13.0
1242,90000.0,Master’s degree,4,Yes,Extremely important,Fairly important,Every few months,Yes,Occasionally: 1-2 days per quarter but less than monthly,Windows,"5,000 to 9,999 employees","{'Windows', 'Linux', 'AWS'}",Computer science,40.0,11.0
1267,55776.0,Bachelor’s degree,5,No,Somewhat important,Very important,Once a year,No,Rarely: 1-2 days per year or less,Windows,100 to 499 employees,"{'Linux', 'Microsoft Azure', 'Kubernetes', 'AWS', 'Docker', 'Windows'}",Computer science,37.0,19.0
1274,10992.0,Professional degree,2,No,Extremely important,Very important,Every few months,No,Sometimes: 1-2 days per month but less than weekly,Windows,,"{'Docker', 'Heroku'}",Computer science,40.0,8.0
1279,64800.0,Bachelor’s degree,4,Not sure,Somewhat important,Fairly important,Once a year,No,Occasionally: 1-2 days per quarter but less than monthly,Windows,"10,000 or more employees",{},Math or stats,43.0,5.0
1284,70000.0,Bachelor’s degree,4,Yes,Extremely important,Very important,Every few months,No,Often: 1-2 days per week or more,Windows,"5,000 to 9,999 employees",{'Windows'},Math or stats,40.0,18.0
1285,,Master’s degree,5,Not sure,Extremely important,Fairly important,Every few months,No,Sometimes: 1-2 days per month but less than weekly,Windows,"1,000 to 4,999 employees","{'Linux', 'Microsoft Azure', 'iOS', 'Kubernetes', 'Docker', 'Windows'}",Engineering other,,8.0
1293,20539.0,Master’s degree,2,Yes,Somewhat important,Fairly important,Once every few years,Yes,Occasionally: 1-2 days per quarter but less than monthly,Windows,"1,000 to 4,999 employees","{'Windows', 'Linux', 'Arduino'}",Computer science,40.0,20.0
1316,,Associate degree,4,Yes,Somewhat important,Somewhat important,Every few months,No,Sometimes: 1-2 days per month but less than weekly,Linux-based,20 to 99 employees,"{'Linux', 'WordPress', 'Heroku', 'Docker', 'Windows'}",Engineering other,40.0,10.0
1324,82000.0,Bachelor’s degree,4,Yes,Extremely important,Critically important,Every few months,Onboarding? What onboarding?,Often: 1-2 days per week or more,Windows,"Just me - I am a freelancer, sole proprietor, etc.","{'Linux', 'MacOS', 'Microsoft Azure', 'Raspberry Pi', 'Kubernetes', 'AWS', 'Docker', 'Windows'}",Natural science,45.0,14.0
1340,,Bachelor’s degree,5,No,Neutral,Somewhat important,,Yes,Often: 1-2 days per week or more,Linux-based,"Just me - I am a freelancer, sole proprietor, etc.","{'Windows', 'Android', 'Linux'}",Computer science,40.0,23.0
1350,129000.0,Master’s degree,5,Yes,Somewhat important,Somewhat important,Once every few years,Yes,Sometimes: 1-2 days per month but less than weekly,Windows,500 to 999 employees,{'Windows'},Engineering other,40.0,10.0
1355,5256.0,Bachelor’s degree,3,Yes,Extremely important,Fairly important,Once a year,No,Occasionally: 1-2 days per quarter but less than monthly,Linux-based,10 to 19 employees,"{'Linux', 'MacOS', 'Raspberry Pi', 'AWS', 'Google Cloud Platform'}",Computer science,45.0,10.0
1356,,Bachelor’s degree,3,Not sure,Neutral,Critically important,,Yes,Sometimes: 1-2 days per month but less than weekly,Windows,"10,000 or more employees","{'Windows', 'Raspberry Pi'}",Engineering other,40.0,8.0
